precision,[0.17241379 0.26241135 0.24468085 0.1        0.2        0.203125
 0.27659574 0.26666667 0.21621622 0.2804878 ]
recall,[0.17241379 0.26241135 0.24468085 0.1        0.2        0.203125
 0.27659574 0.26666667 0.21621622 0.2804878 ]
f1,[0.16393443 0.35238095 0.25842697 0.1        0.17721519 0.17931034
 0.18439716 0.23880597 0.24427481 0.28571429]
accuracy,0.228
