precision,[0.28125    0.25       0.11538462 0.08695652 0.26415094 0.17021277
 0.39583333 0.13043478 0.15       0.21212121]
recall,[0.42857143 0.26666667 0.11764706 0.17142857 0.22222222 0.1509434
 0.27941176 0.10909091 0.17647059 0.12962963]
f1,[0.33962264 0.25806452 0.11650485 0.11538462 0.24137931 0.16
 0.32758621 0.11881188 0.16216216 0.16091954]
accuracy,0.204
