precision,[0.18918919 0.3125     0.10447761 0.02702703 0.17307692 0.19607843
 0.43939394 0.28571429 0.18644068 0.3902439 ]
recall,[0.16666667 0.33333333 0.1372549  0.02857143 0.14285714 0.18867925
 0.42647059 0.21818182 0.32352941 0.2962963 ]
f1,[0.17721519 0.32258065 0.11864407 0.02777778 0.15652174 0.19230769
 0.43283582 0.24742268 0.23655914 0.33684211]
accuracy,0.234
