precision,[0.3877551  0.36842105 0.18367347 0.16949153 0.21568627 0.27272727
 0.46268657 0.29166667 0.25714286 0.53658537]
recall,[0.45238095 0.46666667 0.17647059 0.28571429 0.17460317 0.22641509
 0.45588235 0.25454545 0.26470588 0.40740741]
f1,[0.41758242 0.41176471 0.18       0.21276596 0.19298246 0.24742268
 0.45925926 0.27184466 0.26086957 0.46315789]
accuracy,0.316
